Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Ivy Tech CC Chair Investigates Renewable Energy for Department,Feb 9 2015 - 2:17pm,"February 10, 2015",Ivy Tech Community College,,"January 26, 2015",http://ccdaily.com/Pages/Campus-Issues/Alternative-Energy-Is-Focus-of-Overseas-Trip.aspx,"The university's chair of engineering recently visited China, a major manufacturer of photovoltaic panels, in order to incorporate solar energy into the department's curriculum.",Curriculum
U California Santa Cruz Coordinates First Campus Clean-Up Day,Feb 10 2015 - 6:01pm,"February 17, 2015","University of California, Santa Cruz",,"January 26, 2015",http://ucscsustainability.blogspot.com/2015/01/sustainability-offices-zero-waste-team.html,"Organized by the university's Student Union Assembly and the Sustainability Office, the event aims to motivate campus users to properly dispose of waste and encourages campus stewardship.",Waste
Zane State College Building Achieves LEED Gold,Feb 25 2015 - 11:57am,"March 03, 2015",,Zane State College,"January 26, 2015",http://asumag.com/green-design-buildings/technology-center-zane-state-college-certified-leed-gold?NL=ASU-02&Issue=ASU-02_20150219_ASU-02_292&sfvc4enews=42&cl=article_7_b&YM_RID=CPEQW000001165693&YM_MID=2705,"Home to the college's alternative energy program, the building features a wind turbine and photovoltaic panels.",Buildings
Queen Margaret U Installs Campus Signage of Sustainable Features,Jan 5 2015 - 11:08am,"January 27, 2015",,Queen Margaret University,"January 27, 2015",http://www.qmu.ac.uk/marketing/press_releases/QMU-launches-new-Sustainability-Trail-on-campus.htm,"(U.K.): The university recently constructed the sustainability trail on campus highlighting lighting and energy efficiency, water management, and landscape design that encourages biodiversity and water drainage management.",Co-Curricular Education & Student Organizing
U Alberta Launches Sustainability Scholars Graduate Program,Jan 20 2015 - 11:16am,"January 27, 2015",University of Alberta,,"January 27, 2015",http://sustainability.ualberta.ca/EducationResearch/SustainabilityScholars.aspx,"(Canada): Supporting the university’s Sustainability Plan 2012-2016, the new programs' objectives are to create opportunities for sharing information and ideas between graduate students and the city professionals, to advance professional development opportunities for graduate students at the university in the area of sustainability, and to inspire graduate students to apply their learning to real world city challenges.",Curriculum
Utah State U Administers Ridesharing Program,Jan 22 2015 - 5:38pm,"January 27, 2015",Utah State University,,"January 27, 2015",http://usustatesman.com/ride-sharing-program-comes-to-usu/,"(U.S.): In an effort to reduce single-occupant vehicle use, the university recently initiated the ridesharing service Zimride hoping to make carpooling easier for students, faculty and staff.",Transportation
Biomimicry Global Design Challenge,Jan 23 2015 - 11:49am,"January 27, 2015",Ray C Anderson Foundation,,"January 27, 2015",http://challenge.biomimicry.org/,"The Biomimicry Institute and the Ray C. Anderson Foundation announced the opening of the Biomimicry Global Design Challenge. Students are invited to submit commercially viable, nature-inspired solutions to global food system challenges. All participants get access to the Design Challenge Toolbox and supporting resources, including sessions with mentors and biomimicry professionals. The grand prize, to be awarded in 2016, is $100,000. Submissions are due August 3.",Opportunities
Carnegie Foundation Designates 'Community Engagement' Schools,Jan 23 2015 - 1:13pm,"January 27, 2015",,,"January 27, 2015",http://nerche.org/index.php?option=com_content&view=article&id=341&Itemid=92,"(U.S.): The Carnegie Foundation for the Advancement of Teaching has selected 240 U.S. colleges and universities to receive its 2015 Community Engagement Classification. Community engagement describes collaboration between institutions of higher education and their larger communities for the mutually beneficial exchange of knowledge and resources in a context of partnership and reciprocity. Of this number, 83 institutions are receiving the classification for the first time, while 157 are now re-classified. These 240 institutions join the 121 institutions that earned the classification during the 2010 selection process.",Public Engagement
2015 Interdisciplinary Environmental And Sustainability Ed Report,Jan 23 2015 - 3:52pm,"January 27, 2015",National Council for Science & the Environment,,"January 27, 2015",http://ncseonline.org/ceer-reports,"The National Council for Science and the Environment (NCSE) released the ninth research report, 2015 Leadership and Administrative Structures, on interdisciplinary environmental and sustainability (IES) education. Findings include nationally representative data on IES administrative program structures and resources, and views of program leaders on the challenges they face and the factors important for program success.",New Resources
Call for Submissions: INSS 2015 Conference,Jan 23 2015 - 5:22pm,"January 27, 2015",,Integrated Network for Social Sustainability,"January 27, 2015",https://clas-pages.uncc.edu/inss/annual-meetings/2015-meeting/2015-call-for-abstract-submissions/,"The Integrated Network for Social Sustainability is now accepting abstracts for its 2015 conference themed Social Sustainability and Infrastructure. Academic papers and non-traditional written media can be submitted that examine one of the two areas: defining social, political or ethical issues that emerge in the pursuit of sustainability, or encountering social, political or ethical approaches to addressing broad issues of sustainability. 500-1,000 word abstracts are due by February 15.",Opportunities
Chicago State U Implements Campus Recycling,Jan 23 2015 - 5:57pm,"January 27, 2015",Chicago State University,,"January 27, 2015",http://www.csu.edu/news/recycling.htm,"(U.S.): As part of the university's Go Green initiative, buildings now have paper, plastic and aluminum recycling bins available throughout campus. This is the first campus-wide recycling plan implemented at the university in over a decade.",Waste
AASHE Member Discount: Integrated Sustainability Mgmt Program,Jan 26 2015 - 11:09am,"February 17, 2015 January 27, 2015",Colorado State University,,"January 27, 2015",http://www.aashe.org/node/86510,Colorado State University offers all AASHE members a discount for its new online certificate program on Integrated Sustainability Management. All AASHE members are eligible for a 40 percent discount on the mastery badge and 25 percent discount on the quest badge.,Opportunities
Call for Reviewers: AASHE 2015 Conference & Expo,Jan 26 2015 - 1:38pm,"January 27, 2015",,AASHE,"January 27, 2015",http://www.aashe.org/conference/2015/Call-For-Reviewers,"Calling all interested parties to review abstract submissions for the AASHE 2015 Conference & Expo, themed Transforming Sustainability Education. Reviewers will be asked to review 20-25 proposals on topics of which they offer the strongest level of expertise, and will not review any personally submitted proposals.",Opportunities
U Kentucky Launches Sustainability Radio Show,Jan 27 2015 - 5:29pm,"February 3, 2015",University of Kentucky,,"January 27, 2015",http://uknow.uky.edu/content/green-talks-wrfl-features-student-sustainability-efforts,"Green Talks, hosted by the the director of the Student Sustainability Council, interviews faculty, staff and students who have received funding for projects through the university's student green fee, which generates about $160,000 annually.",Human Resources
U Arizona Student Tuition Contributes $400K to Campus Projects,Feb 2 2015 - 3:01pm,"February 3, 2015","University of Arizona, The",,"January 27, 2015",http://www.wildcat.arizona.edu/article/2015/01/university-of-arizona-goes-green-with-new-grant-program-funds,"The university's Green Fund Annual Grant program was given about $400,000 from student tuition for student and faculty projects that will increase campus sustainability and sustainability in the surrounding community.",Funding
U Northern British Columbia Earns Fair Trade Campus Designation,Feb 2 2015 - 6:44pm,"February 3, 2015",University of Northern British Columbia,,"January 27, 2015",http://www.unbc.ca/releases/36060/unbc-designated-fair-trade-campus,"In order to earn the designation, university students, faculty and staff worked together to meet Fairtrade Canada’s procurement standards regarding the price, labor conditions, and environmental sustainability of products consumed and sold on campus. As a result, all campus food partners incorporate Fair Trade products into their offerings.",Purchasing
Utah State U Faculty Launches Water Conservation Project,Feb 2 2015 - 8:59pm,"February 3, 2015",Utah State University,,"January 27, 2015",http://upr.org/post/campus-permaculture-project-gets-exported-moab,A faculty member has recently collaborated with other university and community parties to implement a rain garden that captures rainwater and diverts it through a rock swell featuring native plants and fruit trees.,Grounds
New Release: Second Nature Sustainability Sit-Downs Video [Video],Feb 2 2015 - 5:26pm,"February 3, 2015",Second Nature,,"January 28, 2015",http://youtu.be/reSCmXor_yg,"Second Nature's Sustainability Sit-Downs Video series recently hosted Blaine Collison, managing director of Network Services for Altenex, to discuss higher education's role in making a sustainability society. The series, which consists of 12 interviews, features sustainability leaders from higher education, and non-profit and private sector organizations that work closely with colleges and universities.",New Resources
California Schools Host Multicampus Food Summit,Feb 2 2015 - 7:05pm,"February 3, 2015",,,"January 28, 2015",http://ucrtoday.ucr.edu/26869,"With a central theme of food justice the inaugural California Higher Education Food Summit convened roughly 150 students, faculty and staff from University of California, California State University and community college campuses to address environmental social and economic pressures that create barriers to food access, security and justice.",Co-Curricular Education & Student Organizing
Texas A&M U Students Design Green Roof for Renovation,Feb 2 2015 - 8:42pm,"February 3, 2015",Texas A&M University,,"January 28, 2015",http://www.thebatt.com/news/view.php/859001/Students-hope-Zachry-eco-roof-takes-root,"Engineers Serving the Community, a student organization that seeks to improve local communities through engineering, has designed a roof they hope will be incorporated into the renovation of the university's engineering building.",Buildings
San Francisco State U Completes Lighting Upgrade,Feb 5 2015 - 11:10am,"February 10, 2015",San Francisco State University,,"January 28, 2015",http://cob.sfsu.edu/news/2015/01/28/cob-students-partner-office-sustainability-increase-campus-energy-efficiency,A project spearheaded by students in a management class led to the removal of unnecessary lamps on the second floor of the university's business building over winter break. Electricity consumption of hallway lighting on this floor has decreased 40 percent as a result.,Energy
Rice U Eco Rep Program Expands Sustainable Living Awareness,Feb 6 2015 - 2:23pm,"February 10, 2015",Rice University,,"January 28, 2015",http://www.ricethresher.org/news/green-dorm-promotes-students-roles-in-environmental-sustainability/article_69e98b8e-a764-11e4-a30f-f7dffc3e61c9.html,"The university Eco Rep Green Dorm Initiative now includes education about environmentally sustainable living through a contest designed to increase interactivity. This year's focus on energy and water, wellbeing, and waste asks participates to engage with the theme through daily tasks.",Co-Curricular Education & Student Organizing
Stephen F. Austin State U Students Create Food Pantry Project,Feb 6 2015 - 2:43pm,"February 10, 2015",Stephen F. Austin State University,,"January 28, 2015",http://www.thepinelog.com/news/local/article_f599f374-a72f-11e4-96c7-7378bca7f6b7.html,"The new, non-profit student group, Food for Thought, allows current students experiencing food insecurity or lack of access to nutritional sources to register to receive a predetermined allotment of food based on need and availability.",Co-Curricular Education & Student Organizing
Colorado Mountain College Holds Art Exhibit,Feb 9 2015 - 12:32pm,"February 10, 2015",Colorado Mountain College,,"January 28, 2015",http://www.postindependent.com/news/14815969-113/less-is-more-exhibit-pushes-cmc-sustainability-efforts,"In an effort to raise awareness for sustainability, the inaugural college-wide art exhibit showcased work that was either created with sustainable materials or with content reflecting the theme of sustainability.",Co-Curricular Education & Student Organizing
Rice U Signs Agreement to Purchase Solar Electricity for One Year,Feb 5 2015 - 12:11pm,"February 10, 2015",Rice University,,"January 29, 2015",http://news.rice.edu/2015/01/29/rice-signs-landmark-energy-agreement-with-mp2-energy/,"In an effort to better manage energy consumption and spending, a recent one-year agreement with a power company was enacted that allows the university to purchase approximately seven percent of the university's purchased electricity from clean energy at the same rate as fossil fuel-powered electricity.",Energy
Washington U Initiates Green Monday Pledge,Feb 6 2015 - 2:47pm,"February 10, 2015",Washington University in St. Louis,,"January 29, 2015",http://www.studlife.com/news/campus-events/2015/01/29/new-green-monday-initiative-aims-at-reducing-carbon-footprint/,"Aiming to decrease the university’s carbon footprint by reducing meat consumption, Green Monday encourages students, faculty and community members to take a pledge to eat vegetarian on Mondays.",Climate
Cornell U Installs LED Lights in Athletic Centers,Feb 17 2015 - 11:56am,"February 24, 2015",Cornell University,,"January 29, 2015",http://www.sustainablecampus.cornell.edu/blogs/news/posts/new-led-lights-illuminate-sports-venues-vibrancy,"(U.S.): Contributing to the school's climate sustaining efforts, the Department of Athletics and Physical Education have begun installing light-emitting diode (LED) lightbulbs in all campus athletic facilities. The project is estimated to save more than 1.7 million-kilowatt hours of electricity and preventing about 450 tons of carbon dioxide annually, avoiding nearly $136,000 in utility bills.",Energy
Northern Arizona U Heats Air With the Sun,Mar 3 2015 - 6:49pm,"(Unpublished) March 10, 2015",Northern Arizona University,,"January 29, 2015",http://www2.nau.edu/green-p/index.php/2015/01/29/nau-installs-novel-solar-thermal/,"In an effort to decrease fossil fuel use and create a culture of sustainability, the newly installed solar thermal air system is projected to reduce carbon dioxide equivalent emissions by three tons per year.",Energy
Georgia Tech Receives $5M From Ray C. Anderson Foundation,Feb 5 2015 - 2:24pm,"February 10, 2015",Georgia Institute of Technology,,"January 30, 2015",http://www.news.gatech.edu/2015/01/30/5-million-commitment-names-ray-c-anderson-center-sustainable-business,"Building on an initial three-year seed funding of $750,000 that established the Center for Business Strategies for Sustainability, the university's College of Business will now be known as the Ray C. Anderson Center for Sustainable Business after the foundation committed $5 million.",Funding
Georgetown U Announces New Committee on Diversity,Feb 6 2015 - 2:55pm,"February 10, 2015",Georgetown University,,"January 30, 2015",http://blog.georgetownvoice.com/2015/01/30/provost-announces-new-committee-for-diversity/,"The establishment of the Provost's Committee for Diversity, birthed from a proposed, student project, will be comprised of different subcommittees and expects participants to engage in an ongoing investigation of racial and social justice, intersectionality, and awareness of marginalized groups on campus.",Diversity & Inclusion
U California Riverside Implements Sustainability Fellowships,Feb 9 2015 - 11:41am,"February 10, 2015","University of California, Riverside",,"January 30, 2015",http://ucrtoday.ucr.edu/26965,"As part of the University of California’s Carbon Neutrality Initiative, a total of five $1,500 fellowships will be awarded to both undergraduates and graduate students for projects that contribute to a reduction in campus greenhouse gas emissions, and/or educate the campus community about the importance of carbon neutrality.",Climate
Cornell U Shaves 15 Years from Carbon Neutral Goal,Feb 9 2015 - 1:01pm,"February 10, 2015",Cornell University,,"January 30, 2015",http://www.ithacajournal.com/story/news/local/2015/01/30/cornell-university-carbon-plan/22595755/,"A new report detailing how the university can reach carbon neutrality by 2035, including fees on carbon, was recently released by the Climate Action Acceleration Working Group with 16 recommendations and specific milestones targeting campus utility bills and university-funded travel among others.",Climate
U Maine Presque Isle Completes Fossil Fuel Divestiture,Feb 11 2015 - 11:58am,"February 17, 2015",University of Maine at Presque Isle,,"January 30, 2015",http://www.umpi.edu/news/releases/item/umpi-foundation-board-completes-total-divestment-from-fossil-fuels,"As a result of the university's work on its new strategic plan and update of its statement of institutional values, the university's Foundation Board directed its investment managers to divest from all fossil fuel holdings.",Investment
Northern Arizona U Initiates 'Food Recovery Network' Program,Feb 9 2015 - 12:54pm,"February 10, 2015",Northern Arizona University,,"January 31, 2015",http://azdailysun.com/news/local/whittling-down-food-waste/article_6c40c846-7894-5522-86b2-a008d274bdcb.html,"Helping the university reduce food waste, the four-month old program permits students to collect and redistribute extra prepared food from on-campus dining and donate it to local food and homeless shelters.",Public Engagement
Three Universities Pilot Sustainable Purchasing Program,Feb 5 2015 - 11:55am,"February 10, 2015",,"Emory University, Portland Community College, University of California at Santa Barbara, Sustainable Purchasing Leadership Council","February 1, 2015",https://www.sustainablepurchasing.org/pr/guidance-and-pilot-launch/,"Emory University, Portland Community College and University of California at Santa Barbara recently signed up to pilot the Sustainable Purchasing Leadership Council's Guidance for Leadership in Sustainable Purchasing v1.0. The Guidance for Leadership in Sustainable Purchasing offers purchasers detailed advice for promoting market innovation and optimizing the environmental, social and economic performance of their supply chains.",Purchasing
Southern Oregon U Partners to Reduce Student Mileage,Feb 5 2015 - 7:20pm,"February 10, 2015",Southern Oregon University,,"February 2, 2015",http://www.mailtribune.com/article/20150202/NEWS/150209932,"Part of a statewide ""Drive Less. Save More."" campaign, the university is working with the Oregon Department of Transportation and a district authority to reduce the number of miles driven by university students by providing information to students about the benefits of traveling by foot, bike, skateboard, bus and shared car. The program's goals are to to reduce traffic, increase parking availability on campus, and reduce greenhouse gas emissions.",Transportation
Lehigh U Adopts Ride Sharing Platform,Feb 6 2015 - 12:29pm,"February 17, 2015",Lehigh University,,"February 2, 2015",http://thebrownandwhite.com/2015/02/02/zimride-lehigh-ride-sharing/,"The university's new contract with Zimride allows the campus community to set up carpools with others at the university, saving money from fuel purchases and in some instances, campus parking permits.",Transportation
392 Colleges Compete in RecycleMania Tournament,Feb 9 2015 - 12:12pm,"February 10, 2015",Keep America Beautiful,,"February 2, 2015",http://recyclemaniacs.org/sites/default/files/2015%20RecycleMania%20Kickoff%20Release-FINAL.pdf,"This year's competition to encourage waste reduction and recycling on higher education campuses features participation from 48 states, the District of Columbia and Canada. New this year, students can post digital messages and selfies that document their reduction efforts in order to earn points.",Waste
Georgia Tech Selects Sustainability-Centered Undergraduate Focus,Feb 24 2015 - 12:55pm,"March 03, 2015",Georgia Institute of Technology,,"February 2, 2015",http://www.news.gatech.edu/2015/02/02/sustainable-communities-focus-undergraduate-education-plan,"As part of the university's accreditation process, Serve, Learn, Sustain has been chosen as its newest Quality Enhancement Plan, which seeks to improve undergraduate education by developing academic courses and experiences that combine community involvement with sustainability, and by focusing on global challenges in critical areas of energy, environment, water resources, food security and global health.",Curriculum
Call for Submissions: MIT Clean Energy Prize,Jan 27 2015 - 11:35am,"February 3, 2015",,,"February 3, 2015",http://cep.mit.edu/structure/,"The MIT Clean Energy Prize is a multi-stage, student-organized business plan competition in which teams compete for a $250,000 grand prize and category prizes. University teams from across the U.S. can enter their business ideas in one of three categories: energy efficiency, renewable energy, or infrastructure and resources. Entries must be submitted no later than Feb. 8.",Opportunities
Cornell U Conserves Energy With New Chiller,Feb 2 2015 - 1:58pm,"February 3, 2015",Cornell University,,"February 3, 2015",http://energyandsustainability.fs.cornell.edu/file/Langmuir-Chiller-Replacement.pdf,"The new air conditioning system air-cooled chiller is fully automated for seasonal and daily on/off and will use less electricity to provide cooling, saving the university $6,000 and diverting 23 tons of carbon dioxide annually.",Energy
Call for Reviewers: AASHE 2015 Conference & Expo,Feb 2 2015 - 4:22pm,"February 24, 2015 February 10, 2015 February 3, 2015",,AASHE,"February 3, 2015",http://www.aashe.org/conference/2015/Call-For-Reviewers,"Calling all interested parties to review abstract submissions for the AASHE 2015 Conference & Expo, themed Transforming Sustainability Education. Reviewers will be asked to review 20-25 proposals on topics that offer the strongest level of expertise, and will not review any personally submitted proposals. Deadline to apply for a reviewer position is Feb. 25.",Opportunities
SUNY Cortland Hosts Weekly Wellness Events,Feb 9 2015 - 1:37pm,"February 10, 2015",State University of New York at Cortland,,"February 3, 2015",http://www2.cortland.edu/news/detail.dot?id=2f2cc2d3-fb76-4800-8455-9e05827efd1f,"The university recently began the Wellness Wednesday Series, for campus and the community, encouraging health and wellness through speakers and panels, informational fairs, self-help workshops and demonstrations.",Health & Wellness
Millersville U Expands Bikeability,Feb 9 2015 - 1:58pm,"February 10, 2015",Millersville University,,"February 3, 2015",http://lancasteronline.com/news/local/mu-president-pedals-idea-of-bike-friendly-campus/article_2f47c1bc-ac05-11e4-9d5c-5b9418795025.html,"Spurred by the support of the president, a biking enthusiast, the university now has additional bike racks and two new bike repair stations, and has plans to install bike lockers in new resident halls.",Transportation
New Release: Second Nature Sustainability Sit-Downs Video [Video],Feb 5 2015 - 3:35pm,"February 10, 2015",Second Nature,,"February 4, 2015",http://youtu.be/T046h9KM3TI,"Second Nature's newest Sustainability Sit-Downs Video series features Elizabeth Kiss, president at Agnes Scott College. Kiss discusses the challenges of location as it relates to energy prices, the importance of the university as a living laboratory, and being part of the solution to a more sustainable planet. The series, which consists of 12 interviews, features sustainability leaders from higher education, and non-profit and private sector organizations that work closely with colleges and universities.",New Resources
Indiana State U Introduces Gender Neutral Housing Option,Feb 5 2015 - 7:32pm,"February 10, 2015",Indiana State University,,"February 4, 2015",http://www.isustudentmedia.com/indiana_statesman/news/campus/article_d444b960-ac85-11e4-897f-cf99360788b7.html,"Beneficial for students and incoming students who may be transgendered or do not identify with a gender, the university will be testing coed dorm rooms with those that carry upperclass status.",Diversity & Inclusion
Bakersfield College Holds Campus Sustainability Symposium,Feb 11 2015 - 12:12pm,"February 17, 2015",Bakersfield College,,"February 4, 2015",http://www.therip.com/news/2015/02/04/bc-and-barc-team-up-to-help-the-campus/,"In conjunction with a local recycling company, the symposium discussed current sustainability efforts underway and proposed ones, including a non-smoking campus designation, infrastructure improvements, and a new co-mingled recycling program.",Coordination & Planning
U Maryland Students Take Action for Clean Water,Feb 13 2015 - 2:45pm,"February 17, 2015","University of Maryland, College Park",,"February 4, 2015",http://www.diamondbackonline.com/news/article_c7608854-abf5-11e4-8ce2-4fa9b2be91bf.html,Protecting the Chesapeake Bay is a main priority of university students in the Maryland Public Interest Research Group as they raise awareness of the Clean Water Act to other students by holding a photo petition.,Co-Curricular Education & Student Organizing
U North Carolina Charlotte Aims for More Unisex Restrooms,Feb 16 2015 - 1:44pm,"February 24, 2015","University of North Carolina, Charlotte",,"February 4, 2015",http://ninertimes.com/2015/02/unc-charlotte-plans-to-expand-presence-of-gender-neutral-restrooms-throughout-campus/,"(U.S.): The university's Campus Accessibility Advisory Committee and the Trans Committee have recently partnered to identify the most used buildings on campus not near gender-neutral restrooms. In an effort to become more inclusive of all students, identified buildings will have gender-neutral bathrooms built in them.",Diversity & Inclusion
Wesleyan U Students to Build Living Wall,Feb 11 2015 - 11:50am,"February 17, 2015",Wesleyan University,,"February 5, 2015",http://wesleyanargus.com/2015/02/05/living-wall/,The university’s Wild Walls student group recently announced its plans to build a vertical plant wall on campus this semester focusing on redesigning conventional campus landscaping while promoting self-sustaining ecosystems.,Grounds
Florida A&M U Opens Recycling Center,Feb 13 2015 - 4:55pm,"February 17, 2015",Florida Agricultural and Mechanical University,,"February 5, 2015",http://www.wtxl.com/news/famu-celebrates-grand-opening-of-campus-recycling-center/article_11617d98-ad89-11e4-bc9b-3b36d975c511.html,"The university's new recycling center will manage and encourage the collection, sorting and processing of recyclables, such as paper, cardboard, plastic bottles and aluminum cans. The new center will also house a cardboard bailer and provide workspace for student interns and volunteers to assist with the recycling program.",Waste
U Maryland Releases Farm to Food Truck Video,Feb 26 2015 - 4:27pm,"March 03, 2015","University of Maryland, College Park",,"February 5, 2015",http://youtu.be/Pb_sw4ywOFY,"The newly released video spotlights the university's food truck that serves food from campus' farm, which hosts students to learn about farming.",Dining Services
U North Carolina Chapel Hill Announces Food Themed Years,Feb 11 2015 - 11:44am,"February 17, 2015",University of North Carolina at Chapel Hill,,"February 6, 2015",http://www.dailytarheel.com/article/2015/02/food-takes-over-as-campus-research-theme,"The university's Global Research Institute announced the two-year food theme beginning fall of 2015 to inspire research and conversations about food on a local, national and global level.",Coordination & Planning
NY Times: 'Investing in Energy Efficiency Pays Off',Feb 13 2015 - 1:03pm,"February 17, 2015",,,"February 6, 2015",http://opinionator.blogs.nytimes.com/2015/02/06/investing-in-energy-efficiency-pays-off/?_r=0,This NY Times piece discusses the opportunity for colleges and universities to invest in energy efficiency with a relatively short payback period and little to no risk.,Campus Sustainability in the Media
U North Carolina Charlotte Receives $64K Electric Vehicle Funding,Feb 11 2015 - 11:31am,"February 17, 2015","University of North Carolina, Charlotte",,"February 7, 2015",http://advancement.uncc.edu/newsletter-stories/university-secures-clean-fuel-advanced-technology-grants,"One Clean Fuel Advanced Technology Project grant for $12,000 enabled the university to purchase a vehicle battery monitoring system that checks, measures and calculates certain battery parameters to determine the health of the battery in order to save money on battery purchases. A second grant for $52,000 will fund the purchase of 20 on-campus charging stations for electric vehicles. Electric vehicle owners will be able to charge for free during the two-year grant period.",Transportation
U Utah Joins Real Food Commitment,Feb 11 2015 - 1:08pm,"February 17, 2015",University of Utah,,"February 9, 2015",https://sustainableutah.wordpress.com/2015/02/09/signing-the-real-food-campus-commitment-a-victory-for-all/,"Thanks to members of the campus community, the recently signed commitment means that University Dining Services will spend at least 20 percent of their total food purchases on real food, defined as local, nutritional, ecologically sound, humane and/or fair, by 2020, nearly doubling its current level.",Dining Services
Bowling Green State U Proposes Green Fund Expansion,Feb 16 2015 - 12:03pm,"February 17, 2015",Bowling Green State University,,"February 9, 2015",http://www.bgnews.com/campus/alumni-green-donation-fund-proposed-at-usg/article_f6cb62d0-b0d2-11e4-b771-7faf9ebeef68.html,"The university's Environmental Action Group proposed the expansion of the university student green fund, an optional $5 per semester, to allow alumni and community members to contribute to it.",Funding
U Sydney Announces Fossil Fuel Investment Reduction,Feb 16 2015 - 12:09pm,"February 24, 2015",University of Sydney,,"February 9, 2015",http://www.abc.net.au/news/2015-02-09/sydney-university-announces-plan-to-reduce-fossil-fuel-investme/6080802,"(Australia): After a recent review of global trends in green energy movement and a student referendum that resulted in 80 percent of students favoring fossil fuel divestment, the university recently stated that it will reduce its carbon footprint by 20 percent through divesting from fossil fuel investments over the next three years.",Investment
Oregon State U Cascades Receives $500K Donation,Feb 25 2015 - 12:31pm,"March 03, 2015",Oregon State University,,"February 9, 2015",http://www.osucascades.edu/news/gifts-help-launch-osu-cascades-net-zero-campus-initiative,"The recently received $500,000 donation from university alumni will enable the university to implement energy conservation practices and technology into the new campus.",Funding
USGBC Curricular Needs for Higher Education Survey,Feb 5 2015 - 10:27am,"February 10, 2015",U.S. Green Building Council,,"February 10, 2015",https://usgbc.wufoo.com/forms/education-for-sustainability-survey/,"The U.S. Green Building Council (USGBC) is engaging a focus group and conducting a survey to determine the types of curricular resources and technology platforms instructors use and need to provide high quality educational experiences for their students around sustainability and green building. Please take the short survey here by end of day Feb. 13. If you are interested in participating in the focus group, you have the option to provide contact information within the survey.",Opportunities
Sustainable Campus International Competition 2015,Feb 5 2015 - 3:49pm,"February 10, 2015",,,"February 10, 2015",http://sustainablecampusic.com/,"The Sustainable Campus International Competition (SCIC) 2015 invites students to develop a sustainability project proposal they can implement within their campuses or local communities within one academic year (Sept. 2015 – June 2016). The SCIC will award $3,000 Canadian dollar ($2,410) to start the project. Ideas must be submitted before Feb. 15.",Opportunities
Loyola U Chicago Student Extends Growing Season on Campus Grounds,Feb 5 2015 - 4:09pm,"February 10, 2015",Loyola University Chicago,,"February 10, 2015",http://www.luc.edu/sustainability/homecenter/01-22-15-step-profile.shtml,A now senior student enrolled in the university's Solutions to Environmental Problems class uses the campus' outdoor urban agricultural spaces to research ways to extend the growing season into winter in hopes of providing easy and affordable methods people can use to grow fresh produce at home.,Research
Northwestern U Adds Sustainability Concentration to Masters Prog,Feb 6 2015 - 11:37am,"February 10, 2015",Northwestern University,,"February 10, 2015",http://www.northwestern.edu/sustainability/news/2015/articles/mccormick-school-of-engineering-masters-program-adds-concentration-in-sustainability-.html,"Added to meet the demand for an education in practical green building planning, the university's McCormick School of Engineering is now offering a new sustainability concentration in its Masters of Project Management graduate program.",Curriculum
Northwestern U to Release Strategic Sustainability Plan,Feb 6 2015 - 11:47am,"February 10, 2015",Northwestern University,,"February 10, 2015",http://www.northwestern.edu/sustainability/news/2015/articles/campus-collaborates-to-develop-sustainability-plan.html,"Currently under development, five working groups from the university's Sustainability Council are evaluating areas of focus, assessing and prioritizing various initiatives within those areas, and establishing clear goals and metrics to evaluate progress. Their recommendations will inform the council who will, in partnership with university leadership, publish the Sustainability Strategic Plan in summer of 2015.",Coordination & Planning
SPLC Guidance for Leadership in Sustainable Purchasing Program,Feb 6 2015 - 1:37pm,"February 10, 2015",Sustainable Purchasing Leadership Council,,"February 10, 2015",https://www.sustainablepurchasing.org/guidance/,"Sustainable Purchasing Leadership Council recently released its version 1.0 of the Guidance for Leadership in Sustainable Purchasing (Guidance) intended to help organizations improve the environmental, social and economic performance within their supply chains, across the entirety of product and service life cycles, by implementing a strategic sustainable purchasing program.",New Resources
AASHE 2015 Sustainability in Higher Education Staffing Survey,Feb 9 2015 - 4:44pm,"February 17, 2015 February 10, 2015",,AASHE,"February 10, 2015",https://www.surveymonkey.com/r/higher_ed_sustainability_staffing_2015,"The 2015 Higher Education Sustainability Staffing Survey is open! We encourage anyone in a paid sustainability position in higher education to take the survey and be entered to win a FREE AASHE 2015 Conference & Expo registration pass! To qualify for the survey, you must be in a paid sustainability position in a higher education institution or college/university system office with either broad responsibility for campus sustainability, or focus on a particular area such as energy, recycling or curriculum. If you qualify, click here and be entered to win a free conference pass! The survey closes Feb. 20.",Opportunities
Five Schools Receive Grant to Bolster Sustainability Initiative,Feb 16 2015 - 1:00pm,"February 17, 2015",,,"February 10, 2015",http://www.depauw.edu/news-media/latest-news/details/31467/,"Albion College, Antioch College, DePauw University, Hope College and Oberlin College have received funding from the Great Lakes College Association for a collaborative project, Expanding Collaboration Initiative, that fosters programs of teaching, research and outreach across college campuses to heighten awareness of how human behaviors affect the well-being of the natural environment.",Funding
U Florida Commences Workspace Sustainability Assistance,Feb 16 2015 - 2:14pm,"February 17, 2015",University of Florida,,"February 10, 2015",http://www.alligator.org/news/campus/article_adfdd87a-b1aa-11e4-90e1-5740b6ba1ac5.html,"Called Green Recognition for Office and Workspaces (GROW), the new program is designed to help offices, labs and other facilities improve energy use, water use, transportation and waste to create more sustainable practices.",Human Resources
