Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Forbes: STARS Must Know Resource,Sep 19 2014 - 11:15am,"September 23, 2014",,"Forbes, AASHE","August 18, 2014",http://www.forbes.com/sites/groupthink/2014/08/18/the-business-metrics-you-cant-afford-to-ignore-in-the-new-economy/,AASHE's STARS program was recently named as one business metric that is vitally important to use in the sustainably focused economy.,Campus Sustainability in the Media
Clark Atlanta U Releases HBCU Green Report,Aug 15 2014 - 1:42pm,"August 19, 2014",Clark Atlanta University,,"August 19, 2014",http://buildinggreennetwork.org/sustainability-study-reveals-green-revolution-blooming-at-america%E2%80%99s-historically-black-colleges-and-universities,"The Building Green Initiative at the university and the North Carolina Institute of Minority Economic Development recently released the HBCU Green Report, a scan of campus sustainability initiatives underway at Historically Black Colleges and Universities that reveal innovations and growing determination among students, faculty and administrators. The survey used for the report included five categories: administration, green building, student involvement, food and recycling, and climate change and energy.",Assessments & Ratings
Hilbert College Launches Diversity Committee,Aug 15 2014 - 1:57pm,"August 19, 2014",Hilbert College,,"August 19, 2014",http://hilbertweekly.wordpress.com/2014/08/08/provost-advisory-committee-on-diversity/,"Launched in the summer of 2014, the committee's focus, comprised of faculty, staff and students, is to gradually change the culture of campus to be a more inclusive one and provide a diverse and engaging campus experience through education resources, professional development, and a study on the campus culture.",Diversity & Inclusion
New Issue of Sustainability: The Journal of Record,Aug 15 2014 - 3:48pm,"August 19, 2014",,Sustainability: The Journal of Record,"August 19, 2014",http://online.liebertpub.com/toc/sus/7/4,"The latest issue features articles about the 2014 ACUPCC Climate Leadership Summit, understanding nature through literature, visually planning sustainability research and more.",New Resources
Sierra Magazine Ranks ‘Coolest Schools’,Aug 15 2014 - 3:53pm,"August 19, 2014",,Sierra Magazine,"August 19, 2014",http://www.sierraclub.org/sierra/slideshow/top-ten-coolest-schools-2014,"The eighth annual ranking of colleges and universities measures environmental achievements and goals based upon Sierra’s value of environmental priorities. This year’s top 10 includes the University of California, Irvine; American University; Dickinson College; Loyola University, Chicago; Lewis and Clark College; Stanford University; University of South Florida; Green Mountain College; University of Connecticut and Georgia’s Institute of Technology.",Assessments & Ratings
Bryant U Student Studies Campus Solar Lighting,Aug 15 2014 - 4:00pm,"August 19, 2014",Bryant University,,"August 19, 2014","http://www.warwickonline.com/stories/Bryant-graduate-offers-study-for-campus-solar-lighting,94992?category_id=4&content_class=1&town_id=1&sub_type=stories",A student recently accepted into National Wildlife Federation’s Emerging Leaders Fellowship Program conducted research and analysis about implementation of solar-powered street lights and is finishing the feasibility analysis and presenting it to the university.,Co-Curricular Education & Student Organizing
USGBC Students Regional Chair Volunteer Positions,Aug 18 2014 - 12:35pm,"August 19, 2014",US Green Building Council - San Diego Chapter,,"August 19, 2014",http://centerforgreenschools.org/main-nav/higher-edu/community/usgbcstudents/regionalchairs.aspx,U.S. Green Building Council (USGBC) is in search of professionals to fill regional chair positions for its USGBC Students program. This volunteer position will build a program that works toward large-scale sustainability projects on college campuses and communities as well as impact a large number of students pursuing careers in the green building and sustainability industry.,Opportunities
UN Higher Education for Sustainable Development Study,Aug 18 2014 - 12:38pm,"August 19, 2014",,United Nations,"August 19, 2014",http://www2.leuphana.de/infutools/limesurvey3/index.php/628125/lang-en,"The new international survey aims to investigate critical factors that provide supportive insights for higher education institutions about how to scale and improve sustainability processes in higher education institutions, society and policy. The survey answers will provide insights on specific opportunities and leverage points to enable higher education institutions to contribute to sustainable development locally and globally. Outcomes of the survey will be sent to participants who provide contact information.",Opportunities
Purdue U Campus Grocery Stocks Local Food [Video],Aug 22 2014 - 10:02am,"August 26, 2014",Purdue University,,"August 19, 2014",http://www.jconline.com/story/life/food/2014/08/18/fresh-city-market-purdue-farms/14242329/,"(U.S.): A new market, Fresh City Market, stocks and uses local produce from the Purdue Student Farm and meat from the university-operated butcher shop.",Co-Curricular Education & Student Organizing
Northern Arizona U Building Achieves LEED Gold,Aug 22 2014 - 10:28am,"August 26, 2014",Northern Arizona University,,"August 19, 2014",http://www2.nau.edu/green-p/index.php/2014/08/18/northern-arizona-university-received-its-9th-leed-certification/,"(U.S.): Recent renovations of the Liberal Arts building at the university included a 75 percent diversion of construction waste from landfills, a reduction of water usage by 30 percent, and lighting controls for more responsible use of energy.",Buildings
Albright College Opens Sustainability House,Aug 28 2014 - 12:46pm,"September 2, 2014",Albright College,,"August 19, 2014",http://www.bctv.org/special_reports/education/albright-college-opening-sustainability-house-for-environmentally-conscious-students/article_e1e9b67e-2797-11e4-b7c8-0019bb2963f4.html,"Five college undergrads will take part in green activities at a new affinity house focused on sustainability, such as recycling and tracking their energy use, developing a relevant event for students on campus, and writing a grant application for a capital item for the house, such as a solar panel.",Co-Curricular Education & Student Organizing
U Central Florida Patents Innovative Soil Media,Aug 28 2014 - 1:00pm,"September 2, 2014",University of Central Florida,,"August 19, 2014",http://today.ucf.edu/stormwater-teams-patented-soil-media-now-deployed-50000-square-feet-green-roofs-throughout-florida/,"A soil product recently created by the university to keep grass and plants firmly rooted and thriving while also providing significant filtration and reduction of storm water runoff is now on 50,000 square feet of roofs in Florida.",Grounds
U North Carolina Greensboro Conserves Trees,Sep 19 2014 - 12:49pm,"September 23, 2014",University of North Carolina at Greensboro,,"August 19, 2014",http://ure.uncg.edu/prod/cweekly/2014/08/19/uncg-lauded-for-its-trees/,The university continues its efforts to protect campus trees and provide maps for students and the community to learn more about the surrounding environment.,Grounds
North Carolina State U Pilots Compost Initiative,Aug 22 2014 - 10:33am,"August 26, 2014",North Carolina State University,,"August 20, 2014",http://sustainability.ncsu.edu/uncategorized/talley-student-union-implements-post-consumer-composting,(U.S.): The university's student union is the first campus building to implement post-consumer composting this fall as part of its new pilot program.,Waste
Princeton U Starts Light Efficiency Upgrade,Aug 28 2014 - 12:41pm,"September 2, 2014",Princeton University,,"August 20, 2014",http://www.princeton.edu/main/news/archive/S40/84/55G06/index.xml?section=topstories,"As part of its Facilities Organization project, the university started to convert over 100,000 light fixtures to light-emitting diode (LED) bulbs across the campus this past July, and is expected to be completed by December 2016 to contribute as much as a 15 percent reduction in carbon emissions as outlined by the Princeton Sustainability Plan to 1990 levels by 2020.",Energy
Promoting Sustainable Landscapes - Making a Case for Campus Trees,Aug 28 2014 - 3:50pm,"September 2, 2014",,AASHE,"August 20, 2014",http://www.aashe.org/events/webinars/2014/Promoting-Sustainable-Landscapes-Making-a-Case-for-Campus-Trees,This webinar is now available as a resource to AASHE members only.,New Resources
Frederick CC Increases Diversity,Aug 28 2014 - 12:50pm,"September 2, 2014",Frederick Community College,,"August 21, 2014",http://www.fredericknewspost.com/z/content_type/news_article/report-fcc-campus-more-diverse-since/article_d109df56-882f-5da0-8e83-70a7fd205bd1.html,"Minority students and faculty increased at the community college in the past year, which has spurred  the need for a new Office of Diversity director to address this growing change at the campus.",Diversity & Inclusion
Wells College Names Sustainability Director,Aug 28 2014 - 1:11pm,"September 2, 2014",Wells College,,"August 22, 2014",http://www.lansingstar.com/around-town/10961-brown-named-wells-center-for-sustainability-and-the-environment-director,The college recently welcomed Marian Brown as the director of the new Center for Sustainability and the Environment to address the increase in needs of an ecologically-conscious and sustainable approach to living.,Human Resources
Two Emory U Hospitals to Divert Waste,Sep 5 2014 - 11:44am,"September 9, 2014",Emory University,,"August 23, 2014",http://www.ajc.com/news/classifieds/jobs/two-emory-hospitals-are-going-green-in-the-or/ng3Dy/,"Starting in the operating rooms, Emory University Hospital Midtown and Emory University Hospital aim to reduce landfill waste by 65 percent by 2015 through recycling more and donating unused supplies.",Waste
College of St. Benedict Diverts Waste [VIDEO],Aug 28 2014 - 1:21pm,"September 2, 2014",College of Saint Benedict,,"August 24, 2014",http://youtu.be/t86aD3Nxw4c,The college held its first annual “Big Sale” this semester in which discarded furniture and appliances were sold back to students at a low price rather than put into a landfill.,Co-Curricular Education & Student Organizing
Montana Tech U Montana Sees International Diversity,Sep 26 2014 - 4:32pm,"September 30, 2014",Montana Tech of the University of Montana,,"August 24, 2014",http://mtstandard.com/news/local/celebrating-diversity-at-school-montana-tech-s-international-students-number/article_60c1a566-29bd-11e4-9f68-001a4bcf887a.html,(U.S.): The university will host nearly 200 international students this year from about 20 countries to increase campus diversity.,Diversity & Inclusion
U Maiduguri Celebrates Diversity,Sep 26 2014 - 4:43pm,"September 30, 2014",,University of Maiduguri,"August 24, 2014",http://tribune.com.ng/component/k2/item/13860-unimaid-students-hold-nativity-night-celebrating-the-beauty-in-diverse-cultures,(Nigeria): A diversity festival was recently held at the university with the theme Unity in Diversity. This was a large cultural event on campus that encouraged people to dress in various cultural attires and learn from one another.,Diversity & Inclusion
U Washington Educates Students on Diversity,Aug 28 2014 - 1:24pm,"September 2, 2014",,University of Washington,"August 25, 2014",http://www.studlife.com/news/2014/08/25/our-names-our-stories-sparks-new-dialogues-on-campus-diversity/,"Freshman orientation this fall was met with a new skit, “Our Names, Our Stories,” to educate university students about acceptance with a focus on race, sexual orientation, socioeconomic diversity and gender diversity.",Diversity & Inclusion
Joliet Junior College to Take on STARS,Aug 28 2014 - 1:33pm,"September 2, 2014",Joliet Junior College,,"August 25, 2014",http://www.chicagotribune.com/suburbs/joliet-romeoville/community/chi-ugc-article-jjc-launches-effort-to-create-a-culture-of-su-2014-08-25-story.html,"In order to promote a sustainable culture, economy and social environment, and to capture current sustainability efforts as a baseline for improvement, the college recently formed a committee to complete a STARS assessment as part of its strategic goals.",Assessments & Ratings
Harvard U Expands Sustainability Efforts,Aug 28 2014 - 1:50pm,"September 2, 2014",Harvard University,,"August 25, 2014",http://news.harvard.edu/gazette/story/2014/08/composting-program-grows-in-the-yard/?utm_source=twitter&utm_medium=social&utm_campaign=OFS,"From two dorms in 2013 to 17 dorms in 2014, all university freshman housing now has compost bins to divert waste and save money.",Waste
Hastings College to Create Green Space,Aug 28 2014 - 2:07pm,"September 2, 2014",Hastings College,,"August 25, 2014",http://www.omaha.com/news/metro/hastings-college-to-turn-busy-street-into-green-space-to/article_50127d96-db49-56fc-b68f-8d56f455ca69.html,The college plans to create a pedestrian mall to replace a busy intersection located between residence halls and the student union by next summer to unite the campus and improve college experience while promoting an increase in green areas.,Grounds
Concordia U Students Design Energy-Efficient Building,Sep 26 2014 - 4:26pm,"September 30, 2014","Concordia University (Montreal, QC)",,"August 25, 2014",http://www.concordia.ca/cunews/main/stories/2014/08/25/students-design-energyefficientbuildinginninedayblitz.html,"(Canada): University students participated in an intensive nine-day, post grad course this past summer that focused on net-zero energy buildings and completed designs to promote energy efficiency.",Buildings
SEI Green Revolving Investment Tracking System (GRITS 1.0),Aug 22 2014 - 8:49am,"August 26, 2014",Sustainable Endowments Institute,,"August 26, 2014",http://greenbillion.org/gritsaffiliates/,"The Sustainable Endowments Institute recently released the 1.0 version of its energy and resource efficiency tracking system. GRITS is a web-based tool that can calculate project-level energy, financial and carbon data, access a project library with data from other schools, and create graphs and visuals. Any school can subscribe to GRITS through the GRITS Affiliates program, even those without a revolving fund. A 30-day free trial is available.",New Resources
Lewis & Clark College Introduces Ecopsychology Certificate,Aug 22 2014 - 9:24am,"August 26, 2014",Lewis & Clark College,,"August 26, 2014",http://graduate.lclark.edu/programs/continuing_education/certificates/ecopsychology/,"(U.S.): A new certificate program was introduced at the college to explore the link between human health, identity and sanity to sustainability relationships and the health of the earth.",Curriculum
Georgia State U Sparks Food Movement,Aug 22 2014 - 9:53am,"August 26, 2014",Georgia State University,,"August 26, 2014",http://knowyourgroweratlanta.com/about/,(U.S.): University students have set out to close the gap between the food on the plate and where the food is grown in a new “Know Your Grower Atlanta” campaign sparking conversations and connections related to the local food process.,Co-Curricular Education & Student Organizing
Auburn U Bolsters Waste Diversion Efforts with Solar,Aug 22 2014 - 10:05am,"August 26, 2014",Auburn University,,"August 26, 2014",http://www.auburn.edu/administration/facilities/organization/building-services/recycling/News/Story_BigBellySolar_0614.pdf,"(U.S.): Solar-powered trash cans and recycling bins have recently been installed on campus that will compact trash leading to a reduction in labor, fuel consumption and greenhouse gas emissions due to the reduced frequency with which the cans will need to be emptied.",Waste
Concordia U St.Paul Implements Single Stream Recycling,Aug 22 2014 - 10:39am,"August 26, 2014","Concordia University, St. Paul",,"August 26, 2014",http://www.csp.edu/news-events/news/2014/08/concordia-debuts-new-recycling-containers/,"(U.S.): In an effort to reduce waste, new recycling bins are currently being installed throughout campus to allow students, faculty and staff to recycle paper, cardboard, plastic, glass bottles and aluminum in a single container.",Waste
EPA Food Recovery Challenge,Aug 22 2014 - 10:41am,"August 26, 2014",,Environmental Protection Agency,"August 26, 2014",http://www.epa.gov/smm/foodrecovery/,"The new free and voluntary program from the Environmental Protection Agency challenges participants to reduce food waste and provides information on ways to save money, help communities and protect the environment. Participants choose one of three categories from which to compare baseline data against stated goals.",Opportunities
Northwest Earth Institute EcoChallenge,Aug 22 2014 - 10:57am,"October 7, 2014 September 16, 2014 August 26, 2014",Northwest Earth Institute,,"August 26, 2014",http://www.ecochallenge.org/,"Hosted by the Northwest Earth Institute, this challenge asks participants to stick with one action to reduce their environmental impact for two weeks. Sign up as an individual, class or university team starting now. This year's EcoChallenge takes place October 15-29.",Opportunities
U South Florida to Bring Local Food to Campus,Aug 28 2014 - 1:15pm,"September 2, 2014",University of South Florida,,"August 26, 2014",http://www.usforacle.com/news/view.php/845022/Local-produce-comes-to-campus,This November the university plans to bring organic fruits and vegetables from a garden to the university for consumption and to increase convenience while reducing the need to travel for produce.,Co-Curricular Education & Student Organizing
Portland State U Studies Air Quality,Aug 28 2014 - 1:43pm,"September 2, 2014",Portland State University,,"August 26, 2014",http://www.pdx.edu/sustainability/news/portland-state-researchers-pinpoint-links-between-trees-and-air-quality,"Researchers recently found that an increase in urban forests led to a reduction in the amount of nitrogen dioxide, an air pollutant that can cause asthma, which can save approximately $6.5 million per year by avoiding missed school and work days, emergency room visits and hospitalizations.",Research
California State U System Engages Local Business,Aug 28 2014 - 1:55pm,"September 2, 2014","California State University, Chancellor's Office",,"August 26, 2014",http://www.sonomastatestar.com/news/2014/8/26/sustainable-food-policy-implemented-across-csu-system,"With a new bill, California State University pledges to source 20 percent of its food purchases from local community based farms by 2020, while Sonoma State University supports local business and promotes sustainable practices within the university’s dining venues.",Purchasing
Southern Oregon U Sells Carbon Credits,Aug 28 2014 - 1:59pm,"September 2, 2014",Southern Oregon University,,"August 26, 2014",http://news.sou.edu/2014/08/southern-oregon-university-sells-carbon-credits-to-chevrolet/,"In an effort to reduce the university’s carbon footprint at a rate of 10 percent by 2020 and 100 percent by 2050, carbon credits from a campus LEED building are being sold to Chevrolet in order to receive funding that will boost green building practices.",Buildings
Triton College Installs Solar Panels,Aug 28 2014 - 2:11pm,"September 2, 2014",Triton College,,"August 26, 2014",http://oakpark.suntimes.com/2014/08/26/triton-college-installs-solar-panels-earth-space-center/,The college recently installed 54 panels to promote clean energy to supplement power to one of its buildings thanks to a grant from Illinois Green Economy Network and the Illinois Department of Commerce and Economic Opportunity.,Energy
McGill U Boost Sustainability Initiative,Sep 26 2014 - 12:33pm,"September 30, 2014",McGill University,,"August 26, 2014",http://ecoleproject.wordpress.com/,"(Canada): The university recently launched the ECOLE initiative, after three years in the pilot stage. This initiative allows students to examine sustainable living in urban communities, learn about clean energy and green produce and conduct community events.",Co-Curricular Education & Student Organizing
Lane CC Identifies Energy Efficient Projects,Aug 28 2014 - 2:04pm,"September 2, 2014",Lane Community College,,"August 27, 2014",http://greenbillion.org/case-study/lane/,"The Energy Carryover Fund, the college’s green revolving fund, was created in 2006 with an allocation of $165,585 from surplus funds in the utilities budget to help the college meet their sustainability goals and formalize a process to identify energy efficiency projects. The fund averages 22.9 percent and has achieved a total of $113,087 in savings to date.",Energy
Colorado State U Get Solar Panels,Sep 5 2014 - 11:40am,"September 9, 2014",Colorado State University,,"August 27, 2014",http://www.collegian.com/2014/08/colorado-state-university-get-solar-panels/85405/,"In order to increase solar energy, the university recently installed panels to increase the amount of sustainable energy 6,600 kilowatts with the ability to power approximately 1,200 homes to benefit the institution and the surrounding community.",Energy
Yale U Introduces New Sustainability Initiatives,Sep 5 2014 - 12:28pm,"September 9, 2014",Yale University,,"August 27, 2014",http://sustainability.yale.edu/planning-progress/president,"In order to boost clean energy efforts, the university plans to invest funds to improve energy consumption, introduce carbon pricing to meet climate change objectives, install solar panels, adopt third-party verification of our campus greenhouse gas inventory, green innovation fellowships and the re-evaluation of the current university Sustainability Strategic Plan.",Energy
Antioch U New England  Installs Electric Vehicle Charging Station,Sep 12 2014 - 6:02pm,"September 16, 2014","Antioch University, New England",,"August 27, 2014",http://www.antiochne.edu/aunenews/electric-vehicle-charging-station/,New charging stations for electric vehicles were recently installed for the campus community and public’s use in an effort to reach carbon neutrality by 2020.,Transportation
Australian National U Works to Improve Diversity,Sep 26 2014 - 4:29pm,"September 30, 2014",Australian National University,,"August 27, 2014",http://www.canberratimes.com.au/act-news/anu-says-accommodation-changes-will-increase-diversity-20140827-108ulw.html,(Australia): The university is updating on-campus accommodations that will attract and include new undergraduate students that are aimed to boost diversity.,Diversity & Inclusion
Missouri U Reignites Diversity Education,Sep 5 2014 - 11:21am,"September 9, 2014",,Missouri University,"August 28, 2014",http://www.themaneater.com/stories/2014/8/28/dpe-works-create-more-inclusive-campus/,"The university has brought back the diversity program that was disbanded 15 years ago to discuss topics such as racism, sexism and heterosexism.",Diversity & Inclusion
Portland State U Boosts Recycling Bin Locations,Sep 5 2014 - 11:35am,"September 9, 2014",Portland State University,,"August 28, 2014",http://www.pdx.edu/sustainability/news/portland-state-brings-recycling-bins-inside-residential-halls,"Thanks to a grant from Keep America Beautiful and The Coca-Cola Foundation, 1,000 new recycling bins designed specifically for placement in its residence halls were recently installed to increase waste diversion efforts.",Waste
Institutions Boost Sustainability Movement,Sep 5 2014 - 11:46am,"September 9, 2014",,U.S. News,"August 28, 2014",https://www.usnewsuniversitydirectory.com/articles/a-study-in-sustainability-how-schools-are-stepping_14268.aspx,"U.S. News: Colleges and universities lead the charge to increase renewable energy efforts such as green residency buildings, clean energy courses and upgrades to promote fuel efficiency.",Campus Sustainability in the Media
Wright State U Students Advocate for Fair Trade,Sep 5 2014 - 11:53am,"September 9, 2014",Wright State University,,"August 29, 2014",http://www.theguardianonline.com/news/2014/08/29/students-advocate-for-fair-trade-at-wright-state/,"In order to increase the variety of products and price points to consumers at the university, the Fair Trade Student Association will soon begin a campaign to increase the availability of eco-friendly products by laborers who were treated fairly and ethically.",Co-Curricular Education & Student Organizing
Three Institutions Support Expansion of Pittsburgh 2030 Program,Sep 12 2014 - 6:26pm,"September 16, 2014",,"Carlow University, Carnegie Mellon University, University of Pittsburgh","August 29, 2014",http://www.2030districts.org/pittsburgh/news/pittsburgh-2030-district-oakland-formally-launched-august-28-2014,"This sustainable program recently expanded into Oakland, PA thanks to Carlow University, Carnegie Mellon University, the University of Pittsburgh and others toward 50 percent reductions in energy consumption, water use and transportation emissions by the year 2030.",Energy
MacEwan U Recycles Furniture,Sep 19 2014 - 1:39pm,"September 23, 2014",MacEwan University,,"August 29, 2014",http://www.macewan.ca/wcm/MacEwanNews/RELOVE_MARKET_ON_CAMPUS,The university introduced a new program called Re-Love Market this September that takes unwanted and gently used items for people to swap or buy items instead of throwing them away.,Waste
Virginia Tech Pilots Green Project,Sep 5 2014 - 11:57am,"September 9, 2014",Virginia Tech,,"August 30, 2014",http://www.wdbj7.com/news/local/recycling-sites-added-for-virginia-techs-home-games/27807782,"On home game days, the university will now have additional recycling bins as part of a new test program to increase recycling efforts by 50 percent by 2050.",Waste
DePauw U Names New Senior Advisor to Promote Diversity,Sep 5 2014 - 12:24pm,"September 9, 2014",DePauw University,,"September 1, 2014",http://www.depauw.edu/news-media/latest-news/details/31160/,"Renee Madison, attorney and associate director of enforcement for the National Collegiate Athletics Association, will now serve on the university’s Cabinet as Senior Advisor to the President for Diversity and Compliance, announced the university’s president this September. She will lead university efforts to promote a campus culture of respect and inclusion.",Diversity & Inclusion
U Alaska Fairbanks Garden Installs Water System,Aug 28 2014 - 1:37pm,"September 2, 2014",University of Alaska Fairbanks,,"September 2, 2014",http://www.uaf.edu/sustainability/news/,"A water system was installed this past spring to allow gardeners to water more efficiently with hoses, instead of hauling buckets and watering cans at the university garden which sells produce at a local market.",Water
AASHE 2014 Membership Survey Now Open,Aug 28 2014 - 2:37pm,"September 2, 2014",,AASHE,"September 2, 2014",https://www.surveymonkey.com/s/WV7YRJ3,"The survey will take approximately 20 minutes to complete and is meant to reach individuals at AASHE member institutions, organizations and businesses, who are working or interested in campus sustainability.",Opportunities
U Wisconsin Milwaukee Practices Natural Lawn Care,Sep 5 2014 - 12:10pm,"September 9, 2014",University of Wisconsin-Milwaukee,,"September 2, 2014",http://wuwm.com/post/uw-milwaukee-experiments-greener-grass,"This year the university eliminated the use of chemicals to be replaced with aeration, seeding and composting to increase environmental efforts across the campus.",Grounds
Indiana U Purdue U Indianapolis Repurposes Food Waste,Sep 5 2014 - 12:14pm,"September 9, 2014",Indiana University-Purdue University Indianapolis,,"September 2, 2014",http://inside.iupui.edu/features/stories/2014-09-02-campus-kitchen-iupui.shtml?utm_source=2014-09-02&utm_medium=enewsletter&utm_content=Bon-appetit&utm_campaign=2014-inside-iupui-distribution,"The university’s new student-led food rescue and distribution operation will turn wasted food into meals for those in need while creating opportunities for student leadership and empowerment, service learning opportunities and additional community partnerships, to promote sustainability throughout the campus to community.",Co-Curricular Education & Student Organizing
U Louisiana Lafayette Works Toward Zero-Waste,Sep 5 2014 - 12:19pm,"September 9, 2014",University of Louisiana at Lafayette,,"September 2, 2014",http://www.theadvertiser.com/story/news/local/2014/09/01/want-waste/14948863/,"The university recently piloted several programs to increase sustainability efforts in their zero-waste initiative around the campus that includes an increase in recycling bins, Goodwill donation bins to divert waste and the donation of leftover food.",Waste
U Albany Launches Sustainability Campaign,Sep 12 2014 - 6:22pm,"September 16, 2014",,University at Albany,"September 2, 2014",http://www.albany.edu/news/52857.php?WT.source=home&WT.svl=headline,"New green initiatives at the university began recently including an effort to reduce electricity use around the campus, provide water through a water refill station to students and faculty and the implementation of a new ZipCar service.",Energy
Johns Hopkins U Increases Green Efforts,Sep 19 2014 - 11:03am,"September 23, 2014",Johns Hopkins University,,"September 2, 2014",http://hub.jhu.edu/gazette/2014/september-october/workplace-greening-jhu,"Over the past five years the university has implemented clean energy initiatives such as furniture recycling, compressed natural gas vehicles and installing water bottle-filling stations resulting in the elimination of 456,000 tons of CO2e.",Water
U North Carolina Greensboro Rolls Out Mobile Market,Oct 12 2014 - 8:01pm,"October 14, 2014",University of North Carolina at Greensboro,,"September 2, 2014",http://ure.uncg.edu/prod/cweekly/2014/09/02/mobile-farmers-market/,"The new locally-owned mobile farmers market, offering fresh and local fruit, vegetables, meat and baked goods, is a partnership between the university's Dining Services and a local business.",Dining Services
North Carolina State U to Save Trees,Sep 5 2014 - 12:32pm,"September 9, 2014",North Carolina State University,,"September 3, 2014",http://sustainability.ncsu.edu/uncategorized/students-families-to-combat-cankerworms-on-annual-day-of-service,"To prevent cankerworms from damaging university trees, volunteers will wrap and attach polyfill fabric and special paper around tree trunks this fall, and later they will slather the bands with a sticky paste to prevent eggs being laid.",Grounds
Penn State U to Increase Sustainability at Sporting Events,Sep 12 2014 - 5:31pm,"September 16, 2014",,Penn State University,"September 3, 2014",http://news.psu.edu/story/324653/2014/09/03/impact/beaver-stadium-suites-program-proves-sustainable,"Throughout the upcoming football season, the university will work to achieve a 100 percent landfill diversion rate starting within the suite sections of the Beaver Stadium to surpass the 97 percent diversion rate accomplished in the 2013 season.",Waste
College Idaho Provide Eco-House,Sep 12 2014 - 5:35pm,"September 16, 2014",,College of Idaho,"September 3, 2014",http://www.idahopress.com/members/college-of-idaho-students-live-self-sustaining-life-in-eco/article_25d9fdca-3324-11e4-b0ae-0019bb2963f4.html,A self-sustaining college sponsored residency provides opportunities for students to promote food consciousness and a more environmentally friendly lifestyle for a second year.,Co-Curricular Education & Student Organizing
Gonzaga U Brings Local Food to Campus,Sep 12 2014 - 5:39pm,"September 16, 2014",Gonzaga University,,"September 3, 2014",http://news.gonzaga.edu/2014/gonzaga-reaches-sustainability,Students can now expect more sustainable food options in the cafeteria thanks to a new partnership between the university and Local Inland Northwest Cooperative Growers. This partnership will contribute toward the Real Food Challenge pledge to source  25 percent of food from local providers by 2020.,Dining Services
San Diego State U Conserves Water,Sep 12 2014 - 5:45pm,"September 16, 2014",San Diego State University,,"September 3, 2014",http://www.kpbs.org/news/2014/sep/03/sdsu-works-boost-water-conservation-admid-severe-d/,"The university will soon identify where water is being used to find ways in which water usages can be reduced, such as through the recent installation of a rainwater collection system toward a goal of cutting consumption by 20 percent.",Water
North Carolina State U Reduces Water Use,Sep 15 2014 - 8:19am,"September 16, 2014",North Carolina State University,,"September 3, 2014",http://sustainability.ncsu.edu/uncategorized/equipment-retrofit-reduces-water-use-in-campus-labs,The university recently went through and retrofitted equipment that reduces water use in labs by changing how hot water is cooled upon exiting the autoclave.,Water
Lady Doak College to Build Eco-Friendly Satellite Campus,Sep 26 2014 - 4:23pm,"September 30, 2014",,Lady Doak College,"September 3, 2014",http://timesofindia.indiatimes.com/City/Madurai/Lady-Doak-College-plans-eco-friendly-satellite-campus/articleshow/41556407.cms,(India): In three years the college aims to open a campus that will be 100 percent water efficient and promote clean energy toward their goal of becoming a zero-waste institution.,Buildings
Emory U to Protect Bees,Sep 12 2014 - 5:25pm,"September 16, 2014",Emory University,,"September 4, 2014",http://news.emory.edu/stories/2014/09/er_bee_pledge_commitment/campus.html,The university’s Office of Sustainability Initiatives recently released a new campus pollinator protection policy that will protect pollinators to further its sustainability vision to reduce the university's impact on the local environment.,Policy & Legislation
Appalachian State U Stadium Now Zero-Waste,Sep 12 2014 - 6:10pm,"September 16, 2014",Appalachian State University,,"September 4, 2014",http://www.wataugademocrat.com/article_77ed8f32-344b-11e4-b283-001a4bcf887a.html,"To help the university meet its 90 percent waste diversion rate by 2022, a plan was recently developed for the 2014 season to include compost and recyclables waste collection areas each game day.",Waste
U Western Ontario Increase Recycling Efforts,Sep 26 2014 - 4:20pm,"September 30, 2014",,University of Western Ontario,"September 4, 2014",http://communications.uwo.ca/western_news/stories/2014/September/coffee_cups_now_recyclable_across_campus.html,"(Canada): Coffee cups, fountain drink cups and the accompanying lids are now recyclable to divert 100 tons of waste annually toward their goal of diverting 90 percent of waste from landfills.",Waste
U Utah Recognized for Energy Efficiency Leadership,Oct 6 2014 - 1:16pm,"October 7, 2014",University of Utah,,"September 4, 2014",http://www4.eere.energy.gov/challenge/sites/default/files/uploaded-files/Better_Buildings_University_of_Utah_release_9-4.pdf,"The Department of Energy recently recognized the university in its Better Building Challenge for its work toward reducing energy use by 20 percent by 2020. This goal is achieved through building upgrades and renovations to save money, reduce energy consumption and cut waste. One major upgrade included the heating and cooling system at its Dumke Health Professions Education Building that, upon completion, reduced the environmental impact.",Buildings
Colleges Introduce Renewable Energy Program,Sep 12 2014 - 5:51pm,"September 16, 2014",,"Calhoun Community College, Drake State Technical College","September 5, 2014",http://www.al.com/business/index.ssf/2014/09/electrical_and_hvac_contractor.html,Calhoun Community College and Drake State Technical College recently began offering classes to teach renewable energy skills and increase job opportunities.,Energy
San Diego County Water Authority Promotes Conservation,Sep 12 2014 - 5:58pm,"September 16, 2014",,San Diego Water County Authority,"September 5, 2014",http://timesofsandiego.com/politics/2014/09/05/water-conservation-promoted-student-selfie-contest/,"Students are invited to participate in a new selfie contest of a picture with themselves and a magnet from the authority that says, “When in Drought” in a campaign to increase water conservation efforts such as turning off the water when brushing their teeth.",Water
